Day	Trending Title	Trending Chirp	Trending Number
1	Politics - Trending	President God	62.5k chirps
1	#ShadowsBX	Now Streaming BX on Hala	Promoted by Shadows in the Dark
1	Politics - Trending	#FlordiaManStrikesAgain	13.5k chirps
1	Weird - Trending	We found it in a well?	42.2k chirps
1	Fun - Trending 	Cats!	108.7k chirps
2	Politics - Trending	NoGovernerNoProblem	23.5k chirps
2	Trending in The United States	PizzaDebate	101.8k chirps
2	KPop	#ItsBecauseYouDon'tStan	163.9k chirps
2	Trending in the United States	Canceled? Again?	32.4k chirps
2	Amazing - Trending	Sport Pony	12.9k chirps
3	Music - Trending	New Songs Out Now by Adrian Venti	56.3k chirps
3	Gaming - Trending	Skyrim comes out on yet another console	67.1k chirps
3	Politics - Trending	Why won't the United States just LISTEN?	107.6k chirps
3	Travel - Trending	The Big Duck	42.7k chirps
3	#WereTakingOver	New Shows out Now on Didney Minus	Promoted by Didney 
4	Reading -Trending	What Dogs Do in the Dark	83.6k chirps
4	Music - Trending	Despacito 2	2947.6k chirps
4	Shopping Spree!!!!	#HateYourBodySoWeMakeMoney	Promoted by Ambercrombie & Bitch
4	Gaming - Trending	Baking Father mines Bitcoin???	56.8k chirps
4	Food - Trending	The Ultimate Waffle	48.5k chirps
5	Sports - Trending	Mets Dispan	72.4k chirps
5	Medicine - Trending	Pandemic is fake or so they would have you think	49.8k chirps
5	KPop	Dad's React!	59.2k chirps
5	Politics - Trending	Do politicians really care?	274.7k chirps
5	#ImLovingIt	All New Big Wac Available NOW	Promoted by WacDonalds
6	Movie - Trending	Dogs! The sequal to Cast!?	23.1k chirps
6	Cute - Trending	Puppy is too damn small	253.6k chirps
6	Trending in the United States	#TransRightsAreHumanRights	815.2k chirps
6	Celebrities - Trending	You Won't Believe Who is Sleeping with Who	23.1k chirps
6	YouTube - Trending	Another Youtuber Appologizes	41.5k chirps
7	Food - Trending	A very big pizza	16.5k Chirps
7	Same Phone, but More Expensive	#YouKeepBuyingItWhyShouldWeChange	Promoted by Pear
7	Weird - Trending		36.4k chirps
7			
7			
8			
8			
8			
8			
8			
9			
9			
9			
9			
9			
10			
10			
10			
10			
10			
11			
11			
11			
11			
11			
12			
12			
12			
12			
12			
13			
13			
13			
13			
13			
14			
14			
14			
14			
14			
